engine,pair,direction,timestamp,score,resultR,exit_reason,SL,TP,MFE_R,MAE_R,session,regime,setup_type,failure_reason,top25_cutoff,current_threshold
Engine B,GBP/USD,SHORT,2025-11-13,5.75,-1.11,SL,1.316309,1.304789,,,,trending,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2026-03-13,7.0,-1.08,SL,1.338368,1.32062,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2026-03-30,5.75,-1.08,SL,1.332875,1.314049,,,,ranging,naked,SL,5.75,
Engine B,GBP/USD,SHORT,2026-04-02,5.75,-1.07,SL,1.328498,1.307504,,,,ranging,naked,SL,5.75,
Engine B,EUR/USD,SHORT,2025-01-13,6.0,-1.08,SL,1.026429,1.011845,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-01-14,6.0,-1.08,SL,1.030268,1.015784,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-01-15,5.75,-1.09,SL,1.033892,1.020207,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-02-03,5.0,-0.41,TIMEOUT,1.047847,0.971867,,,,ranging,naked,TIMEOUT,5.0,
Engine B,EUR/USD,SHORT,2025-02-11,5.0,-1.1,SL,1.036301,1.026415,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-02-13,5.0,-1.12,SL,1.046524,1.036223,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-03-25,5.0,-0.11,TIMEOUT,1.088714,1.06324,,,,ranging,naked,TIMEOUT,5.0,
Engine B,EUR/USD,SHORT,2025-04-09,5.0,-1.05,SL,1.115618,1.090904,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-05-12,5.0,-1.06,SL,1.117642,1.097273,,,,trending,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-05-14,5.0,-1.07,SL,1.129286,1.112501,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-05-30,5.0,-1.08,SL,1.138105,1.121049,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-08-04,5.75,-1.07,SL,1.164416,1.143518,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-08-20,6.0,-1.12,SL,1.168561,1.157338,,,,ranging,naked,SL,5.0,
Engine B,EUR/USD,SHORT,2025-09-04,5.0,-1.11,SL,1.169303,1.156934,,,,ranging,naked,SL,5.0,
